# Started logging at 2018-11-29T11:47:27.051759
time, face index, event
0, -1, wait
# Started logging at 2018-11-29T11:48:08.185427
# Started logging at 2018-11-29T11:48:08.185427
time, face index, event
time, face index, event
17, 20, delamination
17, 20, delamination
17, 12, delamination
17, 12, delamination
17, 167, delamination
17, 167, delamination
17, 146, delamination
17, 146, delamination
17, 102, delamination
17, 102, delamination
17, 145, delamination
17, 145, delamination
18, 25, delamination
18, 25, delamination
18, 40, delamination
18, 40, delamination
18, 12, delamination
18, 12, delamination
18, 167, delamination
18, 167, delamination
18, 21, delamination
18, 21, delamination
18, 10, delamination
18, 10, delamination
18, 145, delamination
18, 145, delamination
18, 103, delamination
18, 103, delamination
18, 20, delamination
18, 20, delamination
18, 146, delamination
18, 146, delamination
18, 102, delamination
18, 102, delamination
19, 167, delamination
19, 167, delamination
19, 12, delamination
19, 12, delamination
19, 40, delamination
19, 40, delamination
19, 103, delamination
19, 103, delamination
19, 145, delamination
19, 145, delamination
19, 20, delamination
19, 20, delamination
19, 25, delamination
19, 25, delamination
19, 102, delamination
19, 102, delamination
19, 146, delamination
19, 146, delamination
19, 21, delamination
19, 21, delamination
20, 20, delamination
20, 20, delamination
20, 40, delamination
20, 40, delamination
20, 146, delamination
20, 146, delamination
20, 12, delamination
20, 12, delamination
20, 167, delamination
20, 167, delamination
20, 102, delamination
20, 102, delamination
20, 21, delamination
20, 21, delamination
20, 25, delamination
20, 25, delamination
21, 40, delamination
21, 40, delamination
21, 20, delamination
21, 20, delamination
21, 21, delamination
21, 21, delamination
21, 12, delamination
21, 12, delamination
21, 102, delamination
21, 102, delamination
21, 25, delamination
21, 25, delamination
21, 167, delamination
21, 167, delamination
21, 146, delamination
21, 146, delamination
22, 40, delamination
22, 40, delamination
22, 20, delamination
22, 20, delamination
22, 146, delamination
22, 146, delamination
22, 12, delamination
22, 12, delamination
22, 102, delamination
22, 102, delamination
22, 21, delamination
22, 21, delamination
22, 167, delamination
22, 167, delamination
22, 25, delamination
22, 25, delamination
